지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),전운량(10분위),지면온도(°C)
108,서울,2020-01-16 01:00,-3.9,,1.5,46,,,10,-4.2
108,서울,2020-01-16 02:00,-4.4,,.5,48,,,9,-4.6
108,서울,2020-01-16 03:00,-4.4,,.9,52,,,2,-4.9
108,서울,2020-01-16 04:00,-5.1,,1.4,52,,,2,-5.1
108,서울,2020-01-16 05:00,-4.9,,2.2,51,,,7,-4.2
108,서울,2020-01-16 06:00,-4.9,,1.7,53,,,7,-4.4
108,서울,2020-01-16 07:00,-5.2,,.7,54,,,7,-4.3
108,서울,2020-01-16 08:00,-5.4,,1.1,56,0,0,7,-4.6
108,서울,2020-01-16 09:00,-4.8,,.9,50,.3,.25,5,-3.1
108,서울,2020-01-16 10:00,-3.1,,1.2,43,1,.77,4,-1.9
108,서울,2020-01-16 11:00,-1,,1.2,35,1,1.22,0,-.8
108,서울,2020-01-16 12:00,.6,,1.6,30,1,1.74,0,.1
108,서울,2020-01-16 13:00,2.2,,1.9,25,1,1.89,0,2.2
108,서울,2020-01-16 14:00,2.4,,2.1,26,1,1.83,2,4.5
108,서울,2020-01-16 15:00,3,,2.4,26,1,1.42,6,3.1
108,서울,2020-01-16 16:00,2.6,,3.6,28,1,1.1,5,1.8
108,서울,2020-01-16 17:00,1.5,,4,32,1,.5,5,-.1
108,서울,2020-01-16 18:00,.6,,2.2,34,0,.03,7,-.3
108,서울,2020-01-16 19:00,.2,,2.6,37,,,8,-.7
108,서울,2020-01-16 20:00,-.9,,1.9,45,,,7,-1.2
108,서울,2020-01-16 21:00,-1.1,,1.4,47,,,5,-1.7
108,서울,2020-01-16 22:00,-1.5,,1.6,49,,,8,-2.2
108,서울,2020-01-16 23:00,-2.3,,1.3,55,,,5,-2.7
108,서울,2020-01-17 00:00,-2.3,,.6,52,,,8,-2.8
108,서울,2020-01-17 01:00,-2.8,,.6,56,,,9,-3.1
108,서울,2020-01-17 02:00,-3.1,,.5,57,,,9,-3.5
108,서울,2020-01-17 03:00,-3.1,,.9,50,,,7,-3.8
108,서울,2020-01-17 04:00,-3.6,,.8,56,,,6,-3.9
108,서울,2020-01-17 05:00,-3.9,,1.1,54,,,6,-4.3
108,서울,2020-01-17 06:00,-4.4,,1.4,57,,,6,-4.6
108,서울,2020-01-17 07:00,-4.6,,1.5,57,,,7,-4.5
108,서울,2020-01-17 08:00,-4.7,,1.8,57,0,0,7,-4.2
108,서울,2020-01-17 09:00,-4,,1,52,0,.22,8,-2.8
108,서울,2020-01-17 10:00,-2.2,,1.7,43,.9,.71,6,-1.4
108,서울,2020-01-17 11:00,0,,1.1,34,1,1.29,7,-.4
108,서울,2020-01-17 12:00,1.7,,.9,33,1,1.43,7,.4
108,서울,2020-01-17 13:00,3.3,,1.4,32,1,1.73,3,2.9
108,서울,2020-01-17 14:00,4.2,,2,31,1,1.66,0,4.9
108,서울,2020-01-17 15:00,4.4,,2.3,29,1,1.46,0,4.4
108,서울,2020-01-17 16:00,4.1,,2.5,29,1,.97,0,2
108,서울,2020-01-17 17:00,3,,1.8,30,.7,.33,3,0
108,서울,2020-01-17 18:00,1.8,,2.4,32,0,.05,4,-.2
108,서울,2020-01-17 19:00,1.1,,3.3,37,,,3,-.5
108,서울,2020-01-17 20:00,.6,,3.1,42,,,0,-.9
108,서울,2020-01-17 21:00,-.2,,1.3,46,,,3,-1.2
108,서울,2020-01-17 22:00,-.3,,1.7,46,,,8,-1.3
108,서울,2020-01-17 23:00,-.4,,.6,44,,,10,-1.5
108,서울,2020-01-18 00:00,-.8,,.8,52,,,3,-2.1
108,서울,2020-01-18 01:00,-1.3,,1.7,54,,,5,-2.3
108,서울,2020-01-18 02:00,-1.7,,1.4,63,,,6,-2.7
108,서울,2020-01-18 03:00,-2.1,,1.9,62,,,7,-2.9
108,서울,2020-01-18 04:00,-2.5,,1.6,62,,,3,-3.3
108,서울,2020-01-18 05:00,-2.9,,1.3,61,,,3,-3.8
108,서울,2020-01-18 06:00,-3.2,,1.9,62,,,3,-3.9
108,서울,2020-01-18 07:00,-3.4,,1.2,59,,,0,-4.3
108,서울,2020-01-18 08:00,-4,,1,68,0,0,1,-4.5
108,서울,2020-01-18 09:00,-3.6,,1.3,63,.8,.29,0,-3.4
108,서울,2020-01-18 10:00,-1.1,,1.5,54,1,.87,0,-1.8
108,서울,2020-01-18 11:00,.9,,1.3,45,1,1.39,0,-.4
108,서울,2020-01-18 12:00,2.3,,1.5,39,1,1.75,0,.9
108,서울,2020-01-18 13:00,4.1,,2.3,34,1,1.9,0,4
108,서울,2020-01-18 14:00,5,,2,31,1,1.86,0,6.2
108,서울,2020-01-18 15:00,5.7,,2.1,26,1,1.57,0,5.3
108,서울,2020-01-18 16:00,5.6,,3.2,19,1,1.15,0,3
108,서울,2020-01-18 17:00,4.3,,3.2,23,1,.55,0,-.1
108,서울,2020-01-18 18:00,2.9,,3.1,33,.3,.05,0,-.3
108,서울,2020-01-18 19:00,1.6,,2.4,41,,,0,-.7
108,서울,2020-01-18 20:00,1,,2.7,35,,,0,-1.1
108,서울,2020-01-18 21:00,.3,,1,41,,,0,-1.6
108,서울,2020-01-18 22:00,-.3,,.9,50,,,6,-2
108,서울,2020-01-18 23:00,-.3,,0,54,,,6,-2.1
108,서울,2020-01-19 00:00,-.3,,.1,59,,,7,-1.9
108,서울,2020-01-19 01:00,-.2,,.2,60,,,10,-1.7
108,서울,2020-01-19 02:00,0,,1.1,63,,,10,-1.6
108,서울,2020-01-19 03:00,.3,,1.8,63,,,6,-1.3
108,서울,2020-01-19 04:00,.6,,1.9,63,,,5,-1.2
108,서울,2020-01-19 05:00,.4,,.9,63,,,7,-1.4
108,서울,2020-01-19 06:00,0,,.1,66,,,7,-2
108,서울,2020-01-19 07:00,.1,,1.2,65,,,7,-1
108,서울,2020-01-19 08:00,.4,,1.2,65,0,0,9,-.8
108,서울,2020-01-19 09:00,.9,,.7,63,0,.07,10,-.4
108,서울,2020-01-19 10:00,1,,.7,91,0,.12,10,-.2
108,서울,2020-01-19 11:00,2.7,,1.4,74,.5,.8,4,-.1
108,서울,2020-01-19 12:00,4,.6,3.3,66,.7,.96,9,.9
108,서울,2020-01-19 13:00,3.1,,3.7,79,0,.37,8,1.2
108,서울,2020-01-19 14:00,4.7,,3.6,63,.9,1.37,4,4
108,서울,2020-01-19 15:00,4.9,0,6,51,.9,1.02,5,4.1
108,서울,2020-01-19 16:00,4.8,,5.6,44,1,.94,5,2.9
108,서울,2020-01-19 17:00,4.2,,3.1,49,.8,.38,4,.4
108,서울,2020-01-19 18:00,3.4,,2.3,59,0,.05,1,-.1
108,서울,2020-01-19 19:00,2.8,,2.7,62,,,0,-.1
108,서울,2020-01-19 20:00,2.3,,3.1,60,,,0,-.2
108,서울,2020-01-19 21:00,1.8,,2.5,62,,,0,-.4
108,서울,2020-01-19 22:00,1.2,,1.6,63,,,0,-.6
108,서울,2020-01-19 23:00,.5,,1.7,70,,,0,-.9
108,서울,2020-01-20 00:00,-.1,,1.4,72,,,0,-1.3
108,서울,2020-01-20 01:00,-.3,,.9,70,,,0,-1.5
108,서울,2020-01-20 02:00,-1,,.3,69,,,5,-1.7
108,서울,2020-01-20 03:00,-.5,,.2,59,,,9,-.8
108,서울,2020-01-20 04:00,0,,1.3,58,,,9,-.7
108,서울,2020-01-20 05:00,-.1,,.4,59,,,9,-1.2
108,서울,2020-01-20 06:00,-.5,,1.9,59,,,2,-2
108,서울,2020-01-20 07:00,-.5,,2.5,58,,,1,-2.3
108,서울,2020-01-20 08:00,-.5,,1.5,61,0,0,0,-2.3
108,서울,2020-01-20 09:00,-.3,,2.4,59,.8,.28,0,-1.8
108,서울,2020-01-20 10:00,.7,,2,50,1,.91,0,-.9
108,서울,2020-01-20 11:00,2.1,,3,39,1,1.45,0,-.2
108,서울,2020-01-20 12:00,3.6,,3.7,29,1,1.82,0,.6
108,서울,2020-01-20 13:00,5,,3.3,25,1,1.92,1,3.5
108,서울,2020-01-20 14:00,5.3,,5.1,36,1,1.71,2,4.7
108,서울,2020-01-20 15:00,4.8,,4.9,44,.7,.88,7,3.4
108,서울,2020-01-20 16:00,4.8,,4.8,51,.8,.67,7,3.5
108,서울,2020-01-20 17:00,4.3,,4.4,39,1,.53,1,.7
108,서울,2020-01-20 18:00,2.9,,4.5,41,.4,.07,0,0
