,id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0,0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
10,0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
11,0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
12,0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
13,0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
14,0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.07,0.09
15,0.csv_Day7_7h30m,0.0,0.78,0.46,0.76,1.43,1.58,2.11,2.39,2.05
16,0.csv_Day7_8h00m,1.18,2.6,2.71,3.23,4.29,6.23,7.37,7.53,9.58
17,0.csv_Day7_8h30m,2.41,4.75,7.12,6.61,9.48,12.25,14.83,14.81,18.53
18,0.csv_Day7_9h00m,5.39,7.99,10.66,13.79,20.3,21.18,22.87,25.69,26.03
19,0.csv_Day7_9h30m,7.69,11.8,15.19,18.31,24.84,27.39,29.7,33.0,34.03
20,0.csv_Day7_10h00m,12.37,16.34,21.16,26.37,32.56,35.07,38.86,39.95,41.78
21,0.csv_Day7_10h30m,13.77,18.63,23.81,29.72,34.4,37.72,42.12,43.48,44.34
22,0.csv_Day7_11h00m,15.73,20.45,27.49,33.78,41.04,43.36,46.68,49.23,50.68
23,0.csv_Day7_11h30m,16.55,23.41,31.15,32.31,40.48,45.11,50.86,50.09,49.53
24,0.csv_Day7_12h00m,16.84,24.05,34.06,35.79,42.42,48.13,51.78,51.04,49.54
25,0.csv_Day7_12h30m,16.48,23.37,31.88,36.08,42.18,45.88,51.23,50.82,51.95
26,0.csv_Day7_13h00m,15.41,20.66,28.2,34.6,39.94,42.56,46.28,47.69,47.77
27,0.csv_Day7_13h30m,12.44,16.91,22.27,27.25,34.54,37.78,41.4,42.31,43.6
28,0.csv_Day7_14h00m,10.3,13.94,19.54,24.9,32.76,33.1,36.48,38.39,39.61
29,0.csv_Day7_14h30m,7.91,10.88,16.61,19.36,28.87,28.79,30.14,30.98,32.26
30,0.csv_Day7_15h00m,6.41,9.91,13.16,16.62,22.48,22.12,23.88,26.6,28.23
31,0.csv_Day7_15h30m,4.09,6.37,9.33,10.68,13.3,14.8,14.47,16.62,19.38
32,0.csv_Day7_16h00m,2.46,3.22,6.06,6.01,7.82,8.58,8.51,9.36,12.18
33,0.csv_Day7_16h30m,0.0,0.91,1.17,0.97,2.36,3.08,2.91,3.8,3.12
34,0.csv_Day7_17h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.07,0.09
35,0.csv_Day7_17h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
36,0.csv_Day7_18h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
37,0.csv_Day7_18h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
38,0.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
39,0.csv_Day7_19h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
40,0.csv_Day7_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.csv_Day7_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.csv_Day8_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
58,0.csv_Day8_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
59,0.csv_Day8_5h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
60,0.csv_Day8_6h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
61,0.csv_Day8_6h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
62,0.csv_Day8_7h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.1
63,0.csv_Day8_7h30m,0.0,0.0,1.89,2.33,1.52,1.64,1.04,2.27,2.76
64,0.csv_Day8_8h00m,0.43,3.12,5.76,5.59,5.83,6.24,6.58,8.89,9.74
65,0.csv_Day8_8h30m,4.14,6.27,10.47,11.38,12.04,13.48,15.12,15.71,20.1
66,0.csv_Day8_9h00m,6.84,9.92,16.43,17.39,20.09,21.16,21.49,24.43,27.21
67,0.csv_Day8_9h30m,11.12,15.99,21.84,24.62,28.08,30.24,31.08,33.69,35.41
68,0.csv_Day8_10h00m,15.53,20.07,30.63,30.17,35.33,35.78,36.29,41.1,42.25
69,0.csv_Day8_10h30m,18.37,24.15,31.41,34.65,38.46,40.07,40.47,43.99,46.04
70,0.csv_Day8_11h00m,20.44,25.64,33.77,36.46,41.24,43.38,43.9,47.24,50.21
71,0.csv_Day8_11h30m,21.53,29.27,34.43,38.41,41.38,45.18,45.73,47.42,53.07
72,0.csv_Day8_12h00m,22.39,29.27,36.99,39.8,42.99,45.77,47.24,49.12,51.52
73,0.csv_Day8_12h30m,21.39,29.38,34.87,39.45,43.77,47.24,46.07,50.08,54.45
74,0.csv_Day8_13h00m,20.59,25.42,33.63,36.07,40.8,42.19,43.72,47.11,50.22
75,0.csv_Day8_13h30m,17.44,21.29,29.08,31.62,36.74,39.6,40.2,45.11,47.68
76,0.csv_Day8_14h00m,11.6,18.57,25.51,28.57,34.06,35.76,34.93,39.01,40.85
77,0.csv_Day8_14h30m,11.48,16.83,20.8,25.09,28.89,28.77,29.76,31.52,33.92
78,0.csv_Day8_15h00m,9.74,12.75,18.72,21.62,23.52,23.35,21.86,26.54,28.61
79,0.csv_Day8_15h30m,5.86,8.89,12.92,14.35,15.08,15.51,15.5,17.46,19.34
80,0.csv_Day8_16h00m,2.07,3.95,6.58,7.7,7.68,8.14,8.15,10.67,11.45
81,0.csv_Day8_16h30m,0.0,0.0,1.71,2.58,1.84,2.11,1.32,2.78,4.21
82,0.csv_Day8_17h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.1
83,0.csv_Day8_17h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
84,0.csv_Day8_18h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
85,0.csv_Day8_18h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
86,0.csv_Day8_19h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
87,0.csv_Day8_19h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
88,0.csv_Day8_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.csv_Day8_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.csv_Day8_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.csv_Day8_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.csv_Day8_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.csv_Day8_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.csv_Day8_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.csv_Day8_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
106,1.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
107,1.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
108,1.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
109,1.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
110,1.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.16,0.09
111,1.csv_Day7_7h30m,0.46,1.02,1.11,0.86,1.76,1.15,1.47,2.42,2.39
112,1.csv_Day7_8h00m,4.89,6.35,6.3,6.7,7.1,7.17,6.88,7.56,8.55
113,1.csv_Day7_8h30m,10.65,13.15,14.2,14.84,15.14,14.78,14.9,15.45,16.98
114,1.csv_Day7_9h00m,14.7,19.35,19.83,22.06,22.32,23.0,22.91,23.02,25.23
115,1.csv_Day7_9h30m,17.63,22.2,25.54,28.93,28.05,28.77,29.68,30.25,32.25
116,1.csv_Day7_10h00m,17.86,26.88,31.09,34.88,33.83,33.97,34.24,34.32,37.59
117,1.csv_Day7_10h30m,20.44,35.02,36.89,38.16,39.75,40.41,40.11,41.16,42.09
118,1.csv_Day7_11h00m,23.81,33.39,38.83,40.27,41.85,43.83,44.13,44.15,47.11
119,1.csv_Day7_11h30m,26.34,34.63,42.57,42.83,45.16,46.45,47.1,48.82,49.36
120,1.csv_Day7_12h00m,25.75,36.4,44.14,43.9,46.92,48.63,48.32,49.21,52.73
121,1.csv_Day7_12h30m,24.29,34.59,41.34,42.58,45.63,46.99,47.01,48.51,49.66
122,1.csv_Day7_13h00m,23.02,32.29,37.88,39.94,42.79,45.95,45.44,48.36,48.2
123,1.csv_Day7_13h30m,19.91,31.08,35.31,36.66,39.76,42.14,42.3,44.25,44.0
124,1.csv_Day7_14h00m,16.41,28.6,30.69,34.27,35.45,37.58,38.9,40.45,41.72
125,1.csv_Day7_14h30m,15.68,22.91,26.57,29.64,29.46,32.55,32.07,34.31,34.47
126,1.csv_Day7_15h00m,13.75,19.76,21.59,22.93,21.51,24.9,24.13,24.53,26.05
