,Hour,TARGET,DHI,DNI,WS,RH,T
0,0,0.0,0,0,2.7,34.42,0.0
1,0,0.0,0,0,2.7,34.17,0.1
2,1,0.0,0,0,2.7,34.23,0.2
3,1,0.0,0,0,2.7,33.99,0.3
4,2,0.0,0,0,2.8,33.97,0.4
5,2,0.0,0,0,2.9,33.48,0.6
6,3,0.0,0,0,3.0,33.97,0.7
7,3,0.0,0,0,3.1,33.44,0.9
8,4,0.0,0,0,3.3,34.37,1.1
9,4,0.0,0,0,3.4,34.37,1.1
10,5,0.0,0,0,3.6,35.66,1.2
11,5,0.0,0,0,3.7,35.66,1.2
12,6,0.0,0,0,3.9,36.16,1.3
13,6,0.0,0,0,4.0,35.91,1.4
14,7,0.0,0,0,4.1,35.53,1.5
15,7,0.750760742,8,0,4.2,32.62,2.7
16,8,3.28453493,35,2,4.3,31.98,3.9
17,8,6.19359914,64,12,4.4,29.0,5.3
18,9,8.914891892,90,21,4.4,30.59,6.7
19,9,15.95275404,128,137,4.3,28.19,7.9
20,10,20.08145936,155,164,4.1,31.08,9.0
21,10,23.27174139,177,178,3.8,29.26,9.9
22,11,26.18045008,191,205,3.4,32.33,10.8
23,11,30.96595358,191,311,3.0,31.28,11.3
24,12,28.05687648,205,207,2.5,37.34,11.8
25,12,32.74869783,178,383,2.1,37.54,11.7
26,13,30.21519737,176,342,1.7,42.67,11.5
27,13,23.64683215,172,201,1.4,44.4,10.9
28,14,17.35989205,147,107,1.2,46.11,10.3
29,14,14.26345078,118,112,1.2,49.96,9.1
30,15,19.04944418,57,596,1.2,49.12,8.0
31,15,13.04389445,42,551,1.3,53.67,6.7
32,16,6.568961565,30,402,1.4,49.54,5.4
33,16,1.219950005,11,120,1.4,49.54,5.4
34,17,0.0,0,0,1.5,45.39,4.1
35,17,0.0,0,0,1.6,46.03,3.9
36,18,0.0,0,0,1.6,39.11,3.8
37,18,0.0,0,0,1.6,39.11,3.8
38,19,0.0,0,0,1.6,33.29,3.8
39,19,0.0,0,0,1.6,33.53,3.7
40,20,0.0,0,0,1.6,30.59,3.7
41,20,0.0,0,0,1.6,30.38,3.8
42,21,0.0,0,0,1.6,28.12,3.9
43,21,0.0,0,0,1.7,28.31,3.8
44,22,0.0,0,0,1.7,27.66,3.7
45,22,0.0,0,0,1.7,27.66,3.7
46,23,0.0,0,0,1.7,27.39,3.7
47,23,0.0,0,0,1.7,27.59,3.6
48,0,0.0,0,0,1.7,26.93,3.6
49,0,0.0,0,0,1.7,27.12,3.5
50,1,0.0,0,0,1.7,28.0,3.4
51,1,0.0,0,0,1.7,28.4,3.2
52,2,0.0,0,0,1.7,30.53,3.0
53,2,0.0,0,0,1.8,30.96,2.8
54,3,0.0,0,0,1.8,33.47,2.6
55,3,0.0,0,0,1.9,33.71,2.5
56,4,0.0,0,0,2.0,35.62,2.4
57,4,0.0,0,0,2.1,35.62,2.4
58,5,0.0,0,0,2.2,36.47,2.4
59,5,0.0,0,0,2.3,36.21,2.5
60,6,0.0,0,0,2.3,36.78,2.5
61,6,0.0,0,0,2.3,36.52,2.6
62,7,0.0,0,0,2.4,36.67,2.7
63,7,0.375377071,4,0,2.3,34.66,3.5
64,8,1.219963413,13,0,2.3,35.39,4.4
65,8,2.064521702,22,0,2.3,32.11,5.8
66,9,3.659777612,39,0,2.3,34.42,7.2
67,9,7.319458687999999,78,1,2.1,31.73,8.4
68,10,15.67095927,144,63,1.9,36.16,9.5
69,10,21.2072661,176,125,1.8,34.74,10.1
70,11,23.27153676,186,144,1.6,38.6,10.7
71,11,23.92828946,199,125,1.5,37.59,11.1
72,12,22.2391604,196,91,1.5,37.44,11.4
73,12,31.34122957,179,348,1.3,37.2,11.5
74,13,34.34390661,138,531,1.2,38.41,11.7
75,13,29.65234423,145,428,0.8,40.22,11.0
76,14,25.80524494,133,397,0.5,45.54,10.3
77,14,21.20747588,108,384,0.5,49.02,9.2
78,15,16.79729314,78,411,0.4,48.17,8.0
79,15,11.44854768,56,374,0.4,51.22,7.1
80,16,5.630488979,34,260,0.4,49.37,6.2
81,16,1.126097796,11,70,0.4,49.37,6.2
82,17,0.0,0,0,0.5,47.71,5.2
83,17,0.0,0,0,0.6,48.72,4.9
84,18,0.0,0,0,0.7,46.45,4.7
85,18,0.0,0,0,0.8,46.77,4.6
86,19,0.0,0,0,0.9,44.59,4.5
87,19,0.0,0,0,1.0,45.21,4.3
88,20,0.0,0,0,1.2,43.45,4.2
89,20,0.0,0,0,1.2,44.31,3.9
90,21,0.0,0,0,1.3,42.66,3.7
91,21,0.0,0,0,1.3,43.27,3.5
92,22,0.0,0,0,1.3,41.76,3.3
93,22,0.0,0,0,1.3,42.06,3.2
94,23,0.0,0,0,1.3,41.42,3.1
95,23,0.0,0,0,1.3,41.42,3.1
96,0,0.0,0,0,1.3,40.27,3.1
97,0,0.0,0,0,1.3,40.55,3.0
98,1,0.0,0,0,1.2,40.27,2.9
99,1,0.0,0,0,1.2,40.56,2.8
100,2,0.0,0,0,1.2,41.81,2.6
101,2,0.0,0,0,1.2,42.1,2.5
102,3,0.0,0,0,1.2,43.19,2.4
103,3,0.0,0,0,1.2,43.8,2.2
104,4,0.0,0,0,1.2,45.16,2.1
105,4,0.0,0,0,1.2,45.81,1.9
106,5,0.0,0,0,1.2,46.05,1.8
107,5,0.0,0,0,1.1,46.38,1.7
108,6,0.0,0,0,1.1,45.9,1.6
109,6,0.0,0,0,1.1,46.23,1.5
110,7,0.0,0,0,1.1,46.31,1.4
111,7,0.6569207029999999,7,0,1.1,44.37,2.0
112,8,3.096891466,32,7,1.1,47.46,2.6
113,8,6.00601993,61,17,1.2,43.92,3.7
114,9,12.19956709,94,148,1.3,47.08,4.9
115,9,13.70091675,122,78,1.5,44.24,5.8
116,10,11.35475704,117,10,1.7,41.22,6.7
117,10,20.64480859,160,151,1.4,38.76,7.6
118,11,33.21908174,155,465,1.2,35.82,8.4
119,11,38.94301698,120,661,0.8,34.39,9.0
120,12,37.81670445,136,590,0.5,33.18,9.6
121,12,35.47071606,143,525,0.6,32.96,9.7
122,13,22.52104005,191,115,0.7,32.84,9.9
123,13,25.43006363,163,269,1.0,33.25,9.7
124,14,27.02536688,119,472,1.3,35.68,9.5
125,14,27.87030781,54,789,1.2,38.94,8.2
126,15,18.39278916,55,571,1.1,48.67,6.9
127,15,10.97963451,58,331,1.2,56.65,4.7
128,16,6.756861533,28,425,1.4,50.48,2.5
129,16,1.689215383,13,212,1.4,50.48,2.5
130,17,0.0,0,0,1.4,48.27,0.9
131,17,0.0,0,0,1.4,48.27,0.9
132,18,0.0,0,0,1.3,45.8,0.8
133,18,0.0,0,0,1.3,46.07,0.7
134,19,0.0,0,0,1.2,45.78,0.5
135,19,0.0,0,0,1.2,46.45,0.3
136,20,0.0,0,0,1.2,50.08,0.1
137,20,0.0,0,0,1.2,50.08,0.1
138,21,0.0,0,0,1.2,53.29,0.2
139,21,0.0,0,0,1.2,52.9,0.3
140,22,0.0,0,0,1.2,54.54,0.4
141,22,0.0,0,0,1.2,54.08,0.5
142,23,0.0,0,0,1.2,55.85,0.5
143,23,0.0,0,0,1.2,56.59,0.3
144,0,0.0,0,0,1.1,59.09,0.1
145,0,0.0,0,0,1.2,61.2,-0.4
146,1,0.0,0,0,1.3,65.76,-0.8
147,1,0.0,0,0,1.4,66.24,-0.9
148,2,0.0,0,0,1.5,69.7,-1.0
149,2,0.0,0,0,1.6,69.7,-1.0
150,3,0.0,0,0,1.7,68.17,-1.0
151,3,0.0,0,0,1.8,67.68,-0.9
152,4,0.0,0,0,2.0,64.3,-0.7
153,4,0.0,0,0,2.0,63.91,-0.6
154,5,0.0,0,0,2.1,61.34,-0.5
155,5,0.0,0,0,1.9,60.9,-0.4
156,6,0.0,0,0,1.8,59.38,-0.4
157,6,0.0,0,0,1.7,59.38,-0.4
158,7,0.0,0,0,1.6,59.46,-0.5
159,7,0.844626256,8,39,1.8,55.3,0.5
160,8,4.316935944,36,98,2.1,55.23,1.4
161,8,12.38757948,51,460,2.3,51.07,2.5
162,9,19.14420957,65,566,2.6,50.31,3.6
163,9,28.52831249,51,825,2.5,46.91,4.6
